"GEO_ID","NAME","P1_001N","P1_001NA","P1_002N","P1_002NA","P1_003N","P1_003NA","P1_004N","P1_004NA","P1_005N","P1_005NA","P1_006N","P1_006NA","P1_007N","P1_007NA","P1_008N","P1_008NA","P1_009N","P1_009NA","P1_010N","P1_010NA","P1_011N","P1_011NA","P1_012N","P1_012NA","P1_013N","P1_013NA","P1_014N","P1_014NA","P1_015N","P1_015NA","P1_016N","P1_016NA","P1_017N","P1_017NA","P1_018N","P1_018NA","P1_019N","P1_019NA","P1_020N","P1_020NA","P1_021N","P1_021NA","P1_022N","P1_022NA","P1_023N","P1_023NA","P1_024N","P1_024NA","P1_025N","P1_025NA","P1_026N","P1_026NA","P1_027N","P1_027NA","P1_028N","P1_028NA","P1_029N","P1_029NA","P1_030N","P1_030NA","P1_031N","P1_031NA","P1_032N","P1_032NA","P1_033N","P1_033NA","P1_034N","P1_034NA","P1_035N","P1_035NA","P1_036N","P1_036NA","P1_037N","P1_037NA","P1_038N","P1_038NA","P1_039N","P1_039NA","P1_040N","P1_040NA","P1_041N","P1_041NA","P1_042N","P1_042NA","P1_043N","P1_043NA","P1_044N","P1_044NA","P1_045N","P1_045NA","P1_046N","P1_046NA","P1_047N","P1_047NA","P1_048N","P1_048NA","P1_049N","P1_049NA","P1_050N","P1_050NA","P1_051N","P1_051NA","P1_052N","P1_052NA","P1_053N","P1_053NA","P1_054N","P1_054NA","P1_055N","P1_055NA","P1_056N","P1_056NA","P1_057N","P1_057NA","P1_058N","P1_058NA","P1_059N","P1_059NA","P1_060N","P1_060NA","P1_061N","P1_061NA","P1_062N","P1_062NA","P1_063N","P1_063NA","P1_064N","P1_064NA","P1_065N","P1_065NA","P1_066N","P1_066NA","P1_067N","P1_067NA","P1_068N","P1_068NA","P1_069N","P1_069NA","P1_070N","P1_070NA","P1_071N","P1_071NA",
"1400000US25017980000","Census Tract 9800, Middlesex County, Massachusetts","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950100","Census Tract 9501, Nantucket County, Massachusetts","1716","null","1617","null","1482","null","48","null","11","null","27","null","1","null","48","null","99","null","86","null","3","null","3","null","6","null","0","null","60","null","2","null","0","null","6","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null","10","null","2","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","2","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","2","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950201","Census Tract 9502.01, Nantucket County, Massachusetts","3683","null","3262","null","2474","null","224","null","33","null","66","null","4","null","461","null","421","null","389","null","17","null","8","null","22","null","0","null","286","null","8","null","0","null","0","null","38","null","0","null","0","null","1","null","0","null","9","null","0","null","28","null","0","null","1","null","0","null","14","null","0","null","0","null","0","null","2","null","4","null","2","null","2","null","1","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","3","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950202","Census Tract 9502.02, Nantucket County, Massachusetts","2996","null","2688","null","1777","null","448","null","34","null","60","null","0","null","369","null","308","null","283","null","48","null","12","null","8","null","1","null","174","null","4","null","0","null","0","null","29","null","0","null","0","null","0","null","0","null","7","null","0","null","16","null","1","null","2","null","3","null","3","null","4","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","7","null","4","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950307","Census Tract 9503.07, Nantucket County, Massachusetts","524","null","484","null","462","null","3","null","0","null","7","null","0","null","12","null","40","null","31","null","1","null","1","null","14","null","0","null","10","null","0","null","0","null","2","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","6","null","2","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950400","Census Tract 9504, Nantucket County, Massachusetts","3571","null","3140","null","2368","null","276","null","9","null","89","null","0","null","398","null","431","null","406","null","12","null","25","null","22","null","0","null","323","null","2","null","2","null","0","null","16","null","1","null","0","null","0","null","0","null","2","null","1","null","18","null","2","null","2","null","0","null","5","null","2","null","2","null","0","null","2","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","5","null","0","null","0","null","0","null","0","null","1","null","2","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019950500","Census Tract 9505, Nantucket County, Massachusetts","1765","null","1677","null","1596","null","28","null","0","null","15","null","0","null","38","null","88","null","75","null","7","null","2","null","15","null","1","null","42","null","1","null","2","null","1","null","1","null","0","null","1","null","0","null","0","null","2","null","0","null","6","null","0","null","1","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","2","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25019990000","Census Tract 9900, Nantucket County, Massachusetts","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400100","Census Tract 4001, Norfolk County, Massachusetts","5548","null","5090","null","3702","null","246","null","17","null","961","null","0","null","164","null","458","null","436","null","38","null","15","null","131","null","0","null","210","null","2","null","5","null","0","null","26","null","0","null","0","null","0","null","2","null","6","null","1","null","22","null","2","null","5","null","0","null","10","null","0","null","0","null","0","null","2","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400201","Census Tract 4002.01, Norfolk County, Massachusetts","3047","null","2826","null","2097","null","45","null","1","null","640","null","0","null","43","null","221","null","194","null","15","null","3","null","61","null","2","null","104","null","0","null","0","null","0","null","2","null","0","null","0","null","2","null","4","null","1","null","0","null","16","null","0","null","0","null","0","null","3","null","0","null","0","null","2","null","4","null","4","null","1","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","10","null","7","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
